"voto","valutazioni","periodo","nome","indirizzo","foto5","foto4","foto3","foto2","foto1","autore","dimensioni","categoria","latitudine","longitudine"
4,90,"113-124 d.C","Pantheon","Via del Pantheon","https://www.italyguides.it/images/lazio/roma/blog/pantheon_4.jpg?lightbox[autoresize]=false","https://www.italyguides.it/images/lazio/roma/blog/pantheon_1.jpg?lightbox[autoresize]=false","http://2.bp.blogspot.com/-TxrnmN3MReo/TWgc2H1gFBI/AAAAAAAAAbM/Wxl2FBzzEok/s1600/cupola.jpg","https://turismoroma.it/sites/default/files/Pantheon.jpg","https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/5c/73.jpg","Romani","46x55m","architecture","41.89999","12.47671"
3,143,"72 d.C","Anfiteatro Flavio","Via del Colosseo","https://www.fotoeweb.it/roma/Colosseo/Colosseo%20Roma.jpg","https://www.fotoeweb.it/roma/Colosseo/Immagine%20interno%20del%20Colosseo%20Roma.jpg","https://www.fotoeweb.it/roma/Colosseo/Interno%20del%20Colosseo.jpg","https://www.fotoeweb.it/roma/Colosseo/Foto_Colosseo.jpg","https://www.fotoeweb.it/roma/Colosseo/Roma%20Fotografia%20Colosseo.jpg","Romani","243 cm","star","41.892345","12.490353"
4,50,"XVI secolo","Chiesa della Santissima Trinità dei Monti","Piazza di Spagna","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Trinit%C3%A0_dei_monti%2C_interno_02.JPG/220px-Trinit%C3%A0_dei_monti%2C_interno_02.JPG","https://www.romasegreta.it/images/ss.trinita-de-monti-scalinata.jpg","https://i2.wp.com/www.estate-romana.it/wp-content/uploads/2019/04/Scalinata-Trinit%C3%A0-dei-Monti.jpg?fit=300%2C200&ssl=1","https://st4.depositphotos.com/18631472/21882/i/1600/depositphotos_218820992-stock-photo-church-santissima-trinita-dei-monti.jpg","https://previews.123rf.com/images/vvoennyy/vvoennyy1612/vvoennyy161200379/67459873-roma-italia-1-novembre-2016-persone-in-piazza-di-spagna-e-la-chiesa-della-santissima-trinit%C3%A0-dei-monti.jpg","Giacomo Della Porta","Non disponibile","architecture","41.905748","12.482129"
5,49,"1622/1625","Apollo e Dafne","Piazzale del Museo Borghese","http://www.culturefuture.net/wp-content/uploads/2018/02/10-226x300.png","https://static.globalist.it/foto/2017/10/30/0004B7E9-particolare-di-apollo-e-dafne-gian-lorenzo-bernini-copyright-ministero-dei-beni-e-delle-attivita-culturali-e-del-turismo-galleria-borghese.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Apollo_%26_Daphne_September_2015-1a.jpg/1280px-Apollo_%26_Daphne_September_2015-1a.jpg","https://www.arteworld.it/wp-content/uploads/2013/07/Particolare-volto-espressione-Apollo-dio-Dafne-Bernini.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c5/Apollo_and_Daphne_%28Bernini%29.jpg","Bernini","243 cm","sculpture","41.914038","12.492016"
5,30,"1732-1762","Fontana di Trevi","Piazza di Trevi, Roma","https://www.adnkronos.com/rf/image_size_1280x960/Pub/AdnKronos/Assets/Immagini/fontana_Trevi_ufs.jpg","https://www.bookingromaresort.com/wp-content/uploads/2018/05/3-1-1024x640.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Fontana_di_Trevi_a_Roma.jpg/1200px-Fontana_di_Trevi_a_Roma.jpg","https://www.dire.it/wp-content/uploads/2019/01/Imagoeconomica_330240.jpg","https://rivista.ording.roma.it/wp-content/uploads/2019/06/Fontana_de_Trevi_5047663584-1080x675.jpg","Nicola Salvi, Giuseppe Pannini","2600 cm","architecture","41.90084","12.483365"
4,50,"1602-1604","Deposizione","Pinacoteca Vaticana","https://www.scienzainrete.it/files/u/schermata_2015-06-16_alle_21.09.46.jpg","https://cdnx.ilsussidiario.net/wp-content/uploads/2019/04/19/caravaggio_deposizione_cristomorto_1604arte.jpg","https://www.gelestatic.it/thimg/dXgvehJMbdyAySRs8rVU1dnducY=/fit-in/960x540/https%3A//www.lastampa.it/image/contentid/policy%3A1.36000339%3A1563118100/NX-A-ART-8329-14941-Michelangelo_Merisi_da_Caravaggio_Deposizione_1602_-_1604_Cappella_Vittrice_Chiesa_Nuova_Roma_.jpg%3Ff%3Ddetail_558%26h%3D720%26w%3D1280%26%24p%24f%24h%24w%3D3f3be6c","https://www.arteworld.it/wp-content/uploads/2015/05/Particolare-Vergine-Maria-Maria-Maddalena-Maria-Cleofa-Donne-deposizione-Caravaggio.jpg","https://www.arteworld.it/wp-content/uploads/2015/05/Deposizione-Caravaggio-analisi.jpg","Caravaggio","300×203 cm","painting","41.89193","12.51133"
5,85,"1599-1600","Vocazione di San Matteo","San Luigi dei Francesi","https://lh3.googleusercontent.com/proxy/cd14hYxEWlBE-eyPm5YdELwDSnUyPXnuzKIx40ZldHvRLWma61c8KV_C_L4DtLAlJWqM9WiOfNFryw75MLMFuqm0BYrFaosENxlAvU57UG-VQgaPr5s-O9D0DRge9JE","https://art-zone.it/wp-content/uploads/2018/05/Vocazione-di-San-Matteo-Caravaggio-analisi-descrizione-breve-riassunto-Copia-2-Copia-300x208.jpg","https://www.arteworld.it/wp-content/uploads/2015/06/Possibile-san-Matteo-Caravaggio.jpg","https://www.arteworld.it/wp-content/uploads/2015/06/Particolare-Cristo-san-Pietro-vocazione-san-Matteo-Caravaggio.jpg","https://upload.wikimedia.org/wikipedia/commons/1/10/Caravaggio_-_La_vocazione_di_San_Matteo.jpg","Caravaggio","322×340 cm","painting","41.899548","12.474545"
5,312,"1536-1541","Giudizio Universale","Cappella Sistina, Musei Vaticani","https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSKG7g7Ih0pbbCX2rAl_2wvBcWhUvUf37QF0MP7wnR9sA0qPTwQ&usqp=CAU","https://www.arteworld.it/wp-content/uploads/2016/08/Giudizio-Universale-Secondo-anello-di-figure-Gruppo-a-sinistra-Michelangelo-Buonarroti.jpg","https://aleteiaitalian.files.wordpress.com/2016/05/cappella-sistina_hero.jpg?quality=100&strip=all&w=620&h=310&crop=1","https://1.bp.blogspot.com/-l-Y-T5nVfZA/WWs0QTzuGII/AAAAAAAACdU/ptpKKS4OvzkSVfUVcpMTfKfByOSNDprAQCLcBGAs/w1200-h630-p-k-no-nu/800px-Michelangelo%252C_Giudizio_Universale_02.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Michelangelo_Buonarroti_-_Il_Giudizio_Universale.jpg","Michelangelo Buonarroti","1370×1200 cm","star","41.90507","12.45498"
3,60,"1515 circa","Amor sacro e Amor profano","Galleria Borghese","https://www.analisidellopera.it/wp-content/uploads/2018/04/Tiziano_Amor_Sacro_e_Amor_profano-2000x794.jpg","https://restaurars.altervista.org/wp-content/uploads/2015/09/Amor_sacro_e_amor_profano_041.jpg","https://www.finestresullarte.info/blog/immagini/2017/795/vasca.jpg","https://www.finestresullarte.info/blog/immagini/2017/795/donna-nuda.jpg","https://www.arteopereartisti.it/wp-content/uploads/2018/01/amor-sacro-e-amor-profano-01.jpg","Tiziano","118×278 cm","painting","41.91412","12.492061"
3,16,"1898","Ninfee rosa","Galleria Nazionale Arte Moderna","https://www.analisidellopera.it/wp-content/uploads/2018/01/Monet_Ninfee_Rosa.jpg","https://it.toluna.com/dpolls_images/2017/04/10/236397bd-fd97-4dfb-a877-1d93feeaa460_x365.jpg","https://www.artwave.it/wp/wp-content/uploads/2019/07/16D21D46-FA11-4F0B-A65C-B6C6344CD946.jpeg","https://lh3.googleusercontent.com/proxy/-o4Lrx88WwhuioA6Ua0Ugd_gudOXVl_juuDGSRzg9QbUyzm8wRipBW1VeeYkUjEK3wvviowv_L5srvOTX55CBJQN18kYOvPQURZU-jtMhgjtXZsx6iMqAcGRexk","https://www.picclickimg.com/00/s/NTkyWDU5NA==/z/5k8AAMXQgJRQ-7xZ/$/CLAUDE-MONET-Art-Lithograph-LE-NINFEE-ROSA-Detail-_1.jpg","Monet","81,5×100 cm","painting","41.89193","12.51133"
